symbol,total_pl,total_investment,return_pct,total_days_held,annual_return,annual_volatility,sharpe_ratio,total_wins,total_losses,cumulative_return,cagr,max_drawdown,win_rate,average_win,average_loss,profit_factor,payoff_ratio,expectancy,total_trades,first_trade,last_trade,VaR
['YATHARTH'],170.58795000000026,1947.6746376749998,0.08758544507394543,57.0,747.6694119458141,2.668167460814455,280.1920879874647,2,0,1.0153778034392564,0.10265668056539656,0.0,1.0,85.29397500000013,0.0,inf,inf,85.29397500000013,2,2024-03-07,2025-02-19,71.46758557358947
['ESTER'],791.1219000000001,3096.57865095,0.25548257905779065,93.0,2138.1291681763287,20.592480956267906,103.82717714863539,3,0,1.2302008974178926,1.2549232676051787,0.0,1.0,263.70730000000003,0.0,inf,inf,263.70730000000003,3,2024-03-14,2025-01-14,559.5538226932036
['HAL'],849.3409800000002,2937.77056197,0.2891107260025276,55.0,3573.174833333335,56.565826533931855,63.167199213290985,2,0,1.0198950283406751,0.13966508010240197,0.0,1.0,424.6704900000001,0.0,inf,inf,424.6704900000001,2,2023-02-02,2023-10-25,93.38917523780754
['TITAN'],789.1272000000004,6007.831439039999,0.13134975706410568,110.0,2127.164914434527,40.03798671198811,53.126919935702844,2,0,1.005724092806154,0.019119915314063096,0.0,1.0,394.5636000000002,0.0,inf,inf,394.5636000000002,2,2023-08-04,2023-10-27,22.457143779643648
['NAVNETEDUL'],434.3580800000004,2936.71136967,0.14790628881203588,78.0,1530.48591304348,30.154442211586225,50.752585715395824,2,0,1.0887886433243037,0.4889393910339461,0.0,1.0,217.1790400000002,0.0,inf,inf,217.1790400000002,2,2023-09-13,2024-06-05,363.0565304756631
['KFINTECH'],690.5167200000003,3379.7539510199995,0.2043097604166139,122.0,1428.5810520478349,35.78707364349555,39.916956224988034,3,0,1.031457983611699,0.09709533044625629,0.0,1.0,230.1722400000001,0.0,inf,inf,230.1722400000001,3,2023-12-20,2024-05-31,67.81316618369326
['SDBL'],1544.248030000001,9428.268872685,0.16378913784203816,240.0,1704.772012213978,70.08385359020468,24.323748265638134,7,0,1.5581058646764223,0.9629438649079973,0.0,1.0,220.6068614285716,0.0,inf,inf,220.6068614285716,7,2023-10-26,2025-04-08,161.63553044786673
['MEP'],949.4135000000001,3421.9574213999995,0.2774474907439303,84.0,4636.099130036631,198.6787066101891,23.33430295141088,3,0,11.937524912583527,47801.3230177938,0.0,1.0,316.4711666666667,0.0,inf,inf,316.4711666666667,3,2023-07-12,2024-01-24,5340.9461620469065
['BLISSGVS'],446.38950000000057,3605.6532529799997,0.1238026700518328,-208.0,495.22156655052686,23.130166579712323,21.407176850374643,4,0,1.0725235915841629,,-0.0007423341248656845,1.0,111.59737500000014,0.0,inf,inf,111.59737500000014,4,2023-12-21,2025-02-18,21.86616239992782
['TORNTPOWER'],528.2869899999998,3250.6050873449994,0.16251958506331182,147.0,921.6115357142854,43.50938834551113,21.180291673977553,2,0,1.0132093634956363,0.0331206956911998,0.0,1.0,264.1434949999999,0.0,inf,inf,264.1434949999999,2,2023-03-28,2024-05-08,18.187163904813637
['OMAXE'],387.81740000000036,1849.2364540499996,0.2097175832493699,127.0,1106.365905092594,53.364368712949826,20.730984583429194,2,0,1.1865927992020477,0.6350998562557142,0.0,1.0,193.90870000000018,0.0,inf,inf,193.90870000000018,2,2023-08-30,2024-03-13,304.41852725289203
['INDSWFTLAB'],961.3025000000002,2120.2137667499996,0.453398857735721,96.0,4490.732886904763,237.00423896695443,18.947605774810206,2,0,1.3897536686569973,2.4951155473142133,0.0,1.0,480.6512500000001,0.0,inf,inf,480.6512500000001,2,2024-03-27,2024-05-10,812.6288761888221
['MINDACORP'],864.0021400000006,6983.898010589999,0.12371345324486058,149.0,2185.8117082064796,118.42046770469526,18.457465593338615,4,0,1.0966961547292406,0.2537127253049214,0.0,1.0,216.00053500000016,0.0,inf,inf,216.00053500000016,4,2023-08-09,2024-10-23,33.767590323394685
['ICICIBANK'],1748.716240000002,9118.527607154998,0.19177616336083075,253.0,3140.7799590595805,191.97854708002382,16.359692303278113,8,0,1.1002644286431436,0.14780290100050464,0.0,1.0,218.58953000000025,0.0,inf,inf,218.58953000000025,8,2023-01-31,2025-01-22,35.362855568854975
['NOCIL'],710.4268100000012,8254.619011185,0.08606415499460043,129.0,2464.6990484022585,152.42361852416084,16.169600697490246,4,1,1.2360133851023718,0.8212755063880821,-0.007487341897428834,0.8,205.97680250000025,-113.4803999999998,7.26034813060231,1.8150870326505775,142.08536200000023,5,2023-08-28,2024-10-28,16.42663103490302
['MUTHOOTFIN'],646.9649900000006,8947.951932254999,0.07230313650522228,164.0,1033.4421056547626,64.56827113495378,16.004332894323863,4,1,1.015025591302987,0.03374936702809128,-0.0015253648775895856,0.8,187.66024750000008,-103.6759999999997,7.240258015355555,1.8100645038388887,129.39299800000015,5,2023-08-17,2024-10-08,5.514580449459676
['AVANTIFEED'],-21.743379999999775,1694.2525791899998,-0.012833611863465483,-286.0,502.26130446428596,32.025796991741785,15.680837063751502,1,1,1.0080897325387945,,0.0,0.5,172.06412000000012,-193.8074999999999,0.8878093985010911,0.8878093985010911,-10.871689999999887,2,2024-03-14,2025-04-04,10.963749786167764
['CARTRADE'],466.3719,1632.49281495,0.28568082856418825,94.0,1685.7370833333332,110.13637292996373,15.305271442026308,2,0,1.0161190676980534,0.06405907055329063,0.0,1.0,233.18595,0.0,inf,inf,233.18595,2,2024-06-05,2024-10-08,28.987825384626237
['MARKSANS'],1394.199340000001,8932.14323328,0.15608788435068935,143.0,3046.725580325393,221.396655197326,13.761073208671446,5,1,2.0347705788393298,5.130127448923509,-0.025600000000000067,0.8333333333333334,299.31986800000016,-102.3999999999998,14.615227929687537,2.923045585937507,232.36655666666684,6,2023-05-23,2025-01-13,92.12193908023046
['MOTILALOFS'],1059.5629800000002,4373.091805319999,0.24229150156669693,53.0,5180.656319444445,381.7488360076786,13.570666969473724,3,1,1.1765548368932215,2.064018507044166,-0.014225212957408417,0.75,384.8055666666667,-94.85371999999995,12.170494736526948,4.056831578842315,264.89074500000004,4,2024-03-14,2025-01-14,56.42223881141592
['QUESS'],539.8879700000002,4145.207400645,0.13024389802932246,-448.0,2288.377015182886,170.3397798743614,13.433779337220509,3,0,1.0578495376221169,,-0.0013021858487191063,1.0,179.96265666666673,0.0,inf,inf,179.96265666666673,3,2023-12-13,2025-04-16,2.876275592209993
['KPITTECH'],1139.8707700000011,8997.109681664999,0.12669299478730567,-532.0,2177.839929589728,163.8840115231071,13.28848317386147,6,2,1.068500997316102,,-0.004235037344121673,0.75,229.80945166666677,-119.49296999999979,5.769614354718956,1.9232047849063185,142.48384625000014,8,2023-03-14,2025-04-07,26.85043102079075
['SHRIRAMFIN'],250.0390700000009,4715.150945144999,0.05302885801725097,113.0,958.1513120039707,72.39892548370915,13.233363694321035,2,1,1.0289756564679615,0.09665386071775739,-0.002430872262623618,0.6666666666666666,166.4350350000004,-82.8309999999999,4.0186653547584985,2.0093326773792493,83.34635666666696,3,2023-10-05,2024-11-14,6.377869141097267
['RELINFRA'],933.7658400000004,8238.41810442,0.1133428563790693,113.0,3990.5475157828296,302.3540084398256,13.198030799638012,4,2,1.6978476000347684,4.528319856833044,-0.03223276595744684,0.6666666666666666,284.3833000000001,-101.88367999999997,5.582509387175653,2.7912546935878266,155.62764000000004,6,2023-01-31,2025-01-29,276.97058629992557
['STARCEMENT'],636.96794,4071.6088671299995,0.1564413382489234,131.0,2944.29281462585,224.0493401600544,13.140957311110943,3,0,1.2070816954597234,0.6894275052411072,0.0,1.0,212.32264666666666,0.0,inf,inf,212.32264666666666,3,2023-09-22,2025-01-14,108.33144470802326
['NAVA'],909.7291100000003,6682.248433005,0.1361411685184677,140.0,3108.9151862802255,239.38921539644573,12.986571601113084,3,1,1.490262679259748,1.8295732294760958,-0.020743377110694183,0.75,340.09710333333345,-110.56220000000002,9.228210997972184,3.0760703326573946,227.43227750000005,4,2023-01-31,2024-03-14,144.06641746042465
['PHOENIXLTD'],-532.8806599999995,4511.273122199999,-0.1181220124708679,-678.0,2171.051283325632,168.68545662701285,12.869996778240196,2,1,1.0310344098005926,,0.0,0.6666666666666666,145.46411000000023,-823.8088799999999,0.3531501384156001,0.17657506920780006,-177.6268866666665,3,2023-03-16,2025-04-11,13.420673167835254
['ASTERDM'],679.7776400000012,7278.554512499999,0.09339459350514842,57.0,4451.232830808088,348.6879583669591,12.765461852065696,3,1,1.221980498523441,2.6100801931951287,-0.019474104783794632,0.75,268.89952000000034,-126.9209199999998,6.355914848395381,2.1186382827984604,169.9444100000003,4,2024-03-13,2025-01-29,125.50267046287593
['STAR'],446.6000600000003,3920.5822725599996,0.11391166641897467,156.0,1020.3041085388196,80.18889663614455,12.722884979551603,3,0,1.0197398747277842,0.04679833550281698,0.0,1.0,148.86668666666677,0.0,inf,inf,148.86668666666677,3,2023-10-25,2025-01-14,6.632071503670825
['SAKHTISUG'],431.7686700000007,6841.608172064998,0.06310923676730822,174.0,1640.4336223447704,129.32296567876742,12.684240681731362,3,2,2.717894721738744,7.144984975797193,-0.08240512969979596,0.6,220.52635000000012,-114.90518999999985,2.878804038355453,1.9192026922369687,86.35373400000012,5,2023-05-15,2024-10-28,758.5109396191876
['OBEROIRLTY'],239.6093500000004,3534.0470715449997,0.06780027123273404,58.0,1065.9989821428587,86.11560487703878,12.377884167043343,2,0,1.0077818896997253,0.04999213267092095,0.0,1.0,119.8046750000002,0.0,inf,inf,119.8046750000002,2,2023-10-06,2024-01-24,6.630344956503618
['JAGRAN'],273.11360000000053,2549.1870207599995,0.10713752964212726,142.0,1320.3821022727298,108.80602598074137,12.134549445877424,2,0,1.1203861304119842,0.3393556377254001,0.0,1.0,136.55680000000027,0.0,inf,inf,136.55680000000027,2,2023-12-13,2024-03-14,103.08631992746238
