,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
0,2020-01-07,230960.72,232561.333,0.0,-232561.333,767438.667,998399.387
1,2020-01-08,541977.39,306643.733,0.0,-306643.733,460794.934,1002772.324
2,2020-01-09,564017.04,0.0,0.0,0.0,460794.934,1024811.974
3,2020-01-10,558876.51,0.0,0.0,0.0,460794.934,1019671.444
4,2020-01-13,627554.27,70283.907,0.0,-70283.907,390511.027,1018065.297
5,2020-01-14,628747.75,0.0,0.0,0.0,390511.027,1019258.777
6,2020-01-15,689861.15,58068.924,0.0,-58068.924,332442.103,1022303.253
7,2020-01-16,684335.14,0.0,0.0,0.0,332442.103,1016777.243
8,2020-01-17,665004.59,0.0,0.0,0.0,332442.103,997446.693
9,2020-01-20,697398.04,36227.784,118222.231,81994.447,414436.55000000005,1111834.59
10,2020-01-21,750061.88,165835.894,0.0,-165835.894,248600.65600000008,998662.5360000001
11,2020-01-22,744052.63,0.0,55525.167,55525.167,304125.8230000001,1048178.4530000001
12,2020-01-23,781070.19,83363.649,0.0,-83363.649,220762.17400000012,1001832.3640000001
13,2020-01-24,788222.81,0.0,0.0,0.0,220762.17400000012,1008984.9840000002
14,2020-01-27,780481.24,0.0,0.0,0.0,220762.17400000012,1001243.4140000001
15,2020-01-28,774537.57,0.0,0.0,0.0,220762.17400000012,995299.7440000001
16,2020-01-29,775929.49,0.0,0.0,0.0,220762.17400000012,996691.6640000001
17,2020-01-30,764241.61,0.0,0.0,0.0,220762.17400000012,985003.7840000001
18,2020-01-31,751431.16,0.0,0.0,0.0,220762.17400000012,972193.3340000001
19,2020-02-03,727595.51,0.0,0.0,0.0,220762.17400000012,948357.6840000001
20,2020-02-04,803157.47,61417.8,154129.377,92711.577,313473.75100000016,1116631.2210000001
21,2020-02-05,649925.92,0.0,0.0,0.0,313473.75100000016,963399.6710000002
22,2020-02-06,658322.01,0.0,88000.293,88000.293,401474.0440000002,1059796.0540000002
23,2020-02-07,568935.65,0.0,0.0,0.0,401474.0440000002,970409.6940000003
24,2020-02-10,559014.15,0.0,0.0,0.0,401474.0440000002,960488.1940000003
25,2020-02-11,558702.48,0.0,0.0,0.0,401474.0440000002,960176.5240000002
26,2020-02-12,551066.23,0.0,2456.291,2456.291,403930.3350000002,954996.5650000002
27,2020-02-13,547460.52,0.0,0.0,0.0,403930.3350000002,951390.8550000002
28,2020-02-14,541107.76,0.0,0.0,0.0,403930.3350000002,945038.0950000002
29,2020-02-17,528589.22,0.0,65571.87,65571.87,469502.2050000002,998091.4250000002
30,2020-02-18,541172.92,79816.346,9560.531,-70255.815,399246.39000000013,940419.3100000002
31,2020-02-19,537777.45,0.0,0.0,0.0,399246.39000000013,937023.8400000001
32,2020-02-20,536322.09,0.0,0.0,0.0,399246.39000000013,935568.4800000001
33,2020-02-24,524388.08,0.0,3021.57,3021.57,402267.9600000001,926656.04
34,2020-02-25,539026.88,21421.465,107758.278,86336.81300000001,488604.7730000001,1027631.6530000002
35,2020-02-26,430972.11,0.0,0.0,0.0,488604.7730000001,919576.8830000001
36,2020-02-27,507558.0,75359.808,6950.135,-68409.67300000001,420195.1000000001,927753.1000000001
37,2020-02-28,587055.89,113788.224,2902.641,-110885.583,309309.5170000001,896365.4070000001
38,2020-03-02,618347.61,46820.332,6973.984,-39846.348,269463.1690000001,887810.7790000001
39,2020-03-03,674070.04,46504.228,199224.652,152720.424,422183.5930000001,1096253.6330000001
40,2020-03-04,465892.56,0.0,0.0,0.0,422183.5930000001,888076.1530000002
41,2020-03-05,562700.42,96702.421,33538.316,-63164.105,359019.4880000001,921719.9080000002
42,2020-03-06,511002.97,0.0,0.0,0.0,359019.4880000001,870022.4580000001
43,2020-03-09,521523.39,45840.76,95033.231,49192.471,408211.95900000015,929735.3490000002
44,2020-03-11,457831.31,31953.239,245849.376,213896.137,622108.0960000001,1079939.4060000002
45,2020-03-12,193890.54,0.0,19404.718,19404.718,641512.8140000001,835403.3540000002
46,2020-03-13,301408.94,97227.713,55145.741,-42081.972,599430.8420000002,900839.7820000001
47,2020-03-16,325859.49,117179.358,0.0,-117179.358,482251.4840000001,808110.9740000002
48,2020-03-17,323095.16,0.0,31743.051,31743.051,513994.5350000001,837089.6950000001
49,2020-03-18,277432.91,0.0,0.0,0.0,513994.5350000001,791427.4450000001
50,2020-03-19,270967.49,0.0,46360.94,46360.94,560355.4750000001,831322.9650000001
51,2020-03-20,232381.75,0.0,0.0,0.0,560355.4750000001,792737.2250000001
52,2020-03-23,209890.36,0.0,0.0,0.0,560355.4750000001,770245.8350000001
53,2020-03-24,211548.53,0.0,66118.8,66118.8,626474.2750000001,838022.8050000002
54,2020-03-25,147731.93,0.0,0.0,0.0,626474.2750000001,774206.2050000001
55,2020-03-26,153028.28,0.0,0.0,0.0,626474.2750000001,779502.5550000002
56,2020-03-27,155099.95,0.0,0.0,0.0,626474.2750000001,781574.2250000001
57,2020-03-30,151866.18,0.0,0.0,0.0,626474.2750000001,778340.4550000001
58,2020-03-31,157162.48,0.0,0.0,0.0,626474.2750000001,783636.7550000001
59,2020-04-01,152385.85,0.0,0.0,0.0,626474.2750000001,778860.1250000001
60,2020-04-03,155348.83,0.0,0.0,0.0,626474.2750000001,781823.1050000001
61,2020-04-07,163687.0,0.0,0.0,0.0,626474.2750000001,790161.2750000001
62,2020-04-08,162903.26,0.0,0.0,0.0,626474.2750000001,789377.5350000001
63,2020-04-09,168765.71,0.0,0.0,0.0,626474.2750000001,795239.9850000001
64,2020-04-13,168603.01,0.0,0.0,0.0,626474.2750000001,795077.2850000001
65,2020-04-15,168153.78,0.0,39435.324,39435.324,665909.5990000002,834063.3790000002
66,2020-04-16,131311.97,0.0,0.0,0.0,665909.5990000002,797221.5690000001
67,2020-04-17,134686.9,0.0,0.0,0.0,665909.5990000002,800596.4990000002
68,2020-04-20,133029.87,0.0,0.0,0.0,665909.5990000002,798939.4690000002
