,symbol,date,price_adj,order_type,quantity,commision_cost,total_cost,balance
0,SAPPHIRE,2023-01-03,259.67942,Buy,349,45.31405879,90673.43163878999,909326.56836121
1,GODHA,2023-01-03,1.6516499999999996,Buy,23340,19.274755499999998,38568.785755499994,870757.7826057101
2,BAJAJFINSV,2023-01-06,1473.3218499999998,Buy,49,36.09638532499999,72228.86703532499,798528.915570385
3,BAJFINANCE,2023-01-06,6079.643569999999,Buy,11,33.438039634999996,66909.51730963499,731619.3982607501
4,POWERGRID,2023-01-06,139.61947999999998,Buy,507,35.39353818,70822.46989817999,660796.9283625701
5,CHOLAFIN,2023-01-06,680.8601799999999,Buy,100,34.043009,68120.061009,592676.8673535702
6,AUBANK,2023-01-06,633.79316,Buy,102,32.32345116,64679.225771159996,527997.6415824102
7,KOTAKBANK,2023-01-09,1799.3475499999997,Buy,60,53.98042649999999,108014.83342649999,419982.8081559102
8,INFY,2023-01-09,1388.4170299999998,Buy,73,50.677221595,101405.120411595,318577.68774431525
9,ICICIBANK,2023-01-11,842.4315899999999,Buy,59,24.851731904999998,49728.315541904994,268849.37220241025
10,HDFCBANK,2023-01-11,1530.8192899999997,Buy,31,23.727698994999997,47479.12568899499,221370.24651341524
11,IDEA,2023-01-11,7.307299999999999,Buy,4029,14.720555849999997,29455.832255849993,191914.41425756525
12,BHARTIARTL,2023-01-12,758.0372799999999,Buy,16,6.064298239999999,12134.660778239999,179779.75347932524
13,MARICO,2023-01-12,481.0705899999999,Buy,24,5.77284708,11551.467007079998,168228.28647224524
14,CIPLA,2023-01-12,1028.0770499999999,Buy,11,5.654423775,11314.501973774999,156913.78449847022
15,BIOCON,2023-01-12,248.88863999999995,Buy,46,5.724438719999999,11454.60187872,145459.18261975024
16,VBL,2023-01-12,244.65440999999996,Buy,43,5.260069814999999,10525.399699814998,134933.78291993524
17,MSUMI,2023-01-12,52.552499999999995,Buy,192,5.045039999999999,10095.125039999999,124838.65787993524
18,NURECA,2023-01-12,424.424,Buy,19,4.0320279999999995,8068.088027999999,116770.56985193524
19,LAURUSLABS,2023-01-13,358.43807999999996,Buy,47,8.42329488,16855.01305488,99915.55679705524
20,RELIANCE,2023-01-13,1131.84071,Buy,14,7.922884969999999,15853.692824969998,84061.86397208524
21,STAR,2023-01-13,333.04270999999994,Buy,39,6.494332844999999,12995.160022844999,71066.70394924024
22,RADIOCITY,2023-01-16,18.06805,Buy,911,8.229996775,16468.223546775,54598.48040246524
23,TRU,2023-01-16,60.03997999999999,Buy,199,5.973978009999999,11953.929998009999,42644.55040445524
24,NYKAA,2023-01-17,141.141,Buy,41,2.8933905,5789.6743905,36854.87601395525
