,symbol,strategy,created_at,updated_at,stop_loss,score,price,order_type,date,price_adj
0,360ONE,MeanReversion,2025-05-12 10:21:39.030049,2025-05-12 10:21:39.030868,344.3435714285714,0.2926725308410265,387.94,Buy,2023-04-18,388.32793999999996
1,360ONE,MeanReversion,2025-05-12 10:21:39.036155,2025-05-12 10:21:39.036896,843.7303571428572,0.2926725308410265,962.9,Buy,2024-10-04,963.8628999999999
2,360ONE,MeanReversion,2025-05-12 10:21:39.037354,2025-05-12 10:21:39.037641,1033.932142857143,0.2926725308410265,1172.7,Buy,2025-01-09,1173.8727
3,3IINFOLTD,MeanReversion,2025-05-12 10:21:39.042607,2025-05-12 10:21:39.042934,30.28392857142857,0.20833855289853875,33.15,Buy,2023-08-11,33.18315
4,3IINFOLTD,MeanReversion,2025-05-12 10:21:39.043427,2025-05-12 10:21:39.043752,33.4875,0.20833855289853875,37.05,Buy,2023-10-25,37.08704999999999
5,3IINFOLTD,MeanReversion,2025-05-12 10:21:39.044630,2025-05-12 10:21:39.045539,38.307142857142864,0.20833855289853875,48.45,Buy,2024-02-13,48.49845
6,3IINFOLTD,MeanReversion,2025-05-12 10:21:39.045841,2025-05-12 10:21:39.045904,32.46071428571428,0.20833855289853875,35.55,Buy,2024-06-03,35.58554999999999
7,3IINFOLTD,MeanReversion,2025-05-12 10:21:39.046554,2025-05-12 10:21:39.047323,30.895357142857144,0.20833855289853875,34.39,Buy,2024-08-06,34.424389999999995
8,3IINFOLTD,MeanReversion,2025-05-12 10:21:39.047510,2025-05-12 10:21:39.048084,24.4275,0.20833855289853875,26.99,Buy,2024-10-23,27.016989999999996
9,AADHARHFC,MeanReversion,2025-05-12 10:21:39.110661,2025-05-12 10:21:39.111057,354.4375,0.3111069360676213,418.0,Buy,2024-08-06,418.41799999999995
10,AADHARHFC,MeanReversion,2025-05-12 10:21:39.111885,2025-05-12 10:21:39.113110,356.2660714285714,0.3111069360676213,402.9,Buy,2024-11-26,403.3028999999999
11,AARTIIND,MeanReversion,2025-05-12 10:21:39.162841,2025-05-12 10:21:39.163845,459.6342857142857,0.2619297206300633,493.67,Buy,2023-03-27,494.16366999999997
12,AARTIIND,MeanReversion,2025-05-12 10:21:39.163974,2025-05-12 10:21:39.164079,463.5496428571428,0.2619297206300633,491.18,Buy,2023-07-05,491.67117999999994
13,AARTIIND,MeanReversion,2025-05-12 10:21:39.164522,2025-05-12 10:21:39.164704,424.73821428571426,0.2619297206300633,451.89,Buy,2023-08-21,452.3418899999999
14,AARTIIND,MeanReversion,2025-05-12 10:21:39.165260,2025-05-12 10:21:39.165436,430.9953571428571,0.2619297206300633,457.34,Buy,2023-10-25,457.7973399999999
15,AARTIIND,MeanReversion,2025-05-12 10:21:39.166769,2025-05-12 10:21:39.167097,564.1242857142857,0.2619297206300633,615.11,Buy,2024-03-14,615.72511
16,AARTIIND,MeanReversion,2025-05-12 10:21:39.167381,2025-05-12 10:21:39.167640,613.0121428571429,0.2619297206300633,669.03,Buy,2024-05-10,669.6990299999999
17,AARTIIND,MeanReversion,2025-05-12 10:21:39.168173,2025-05-12 10:21:39.168336,614.915,0.2619297206300633,659.14,Buy,2024-07-22,659.79914
18,AARTIIND,MeanReversion,2025-05-12 10:21:39.168483,2025-05-12 10:21:39.169133,541.8803571428572,0.2619297206300633,623.95,Buy,2024-08-14,624.57395
19,AARTIIND,MeanReversion,2025-05-12 10:21:39.169520,2025-05-12 10:21:39.170226,403.83392857142854,0.2619297206300633,454.95,Buy,2024-11-11,455.40494999999993
20,AARTIIND,MeanReversion,2025-05-12 10:21:39.171163,2025-05-12 10:21:39.171349,325.5232142857143,0.2619297206300633,357.55,Buy,2025-04-07,357.90754999999996
21,AAVAS,MeanReversion,2025-05-12 10:21:39.216498,2025-05-12 10:21:39.216853,1290.682142857143,0.2943262491691149,1375.95,Buy,2024-03-06,1377.32595
22,ABCAPITAL,MeanReversion,2025-05-12 10:21:39.252159,2025-05-12 10:21:39.252596,128.89285714285714,0.3029965971327504,137.5,Buy,2023-01-27,137.6375
23,ABCAPITAL,MeanReversion,2025-05-12 10:21:39.255062,2025-05-12 10:21:39.255695,157.1125,0.3029965971327504,170.05,Buy,2023-10-27,170.22005
24,ABCAPITAL,MeanReversion,2025-05-12 10:21:39.256576,2025-05-12 10:21:39.256803,151.08392857142857,0.3029965971327504,170.95,Buy,2024-03-14,171.12094999999997
25,ABCAPITAL,MeanReversion,2025-05-12 10:21:39.257446,2025-05-12 10:21:39.258692,187.02142857142857,0.3029965971327504,207.95,Buy,2024-06-05,208.15794999999997
26,ABCAPITAL,MeanReversion,2025-05-12 10:21:39.259042,2025-05-12 10:21:39.259347,189.67321428571427,0.3029965971327504,208.0,Buy,2024-10-23,208.20799999999997
27,ABCAPITAL,MeanReversion,2025-05-12 10:21:39.259752,2025-05-12 10:21:39.260008,175.61035714285714,0.3029965971327504,187.53,Buy,2024-12-23,187.71752999999998
28,ABCAPITAL,MeanReversion,2025-05-12 10:21:39.260210,2025-05-12 10:21:39.260487,154.89892857142857,0.3029965971327504,167.79,Buy,2025-01-28,167.95778999999996
29,ABDL,MeanReversion,2025-05-12 10:21:39.262896,2025-05-12 10:21:39.263596,296.3678571428572,0.2999199520164201,329.35,Buy,2024-10-04,329.67935
30,ABFRL,MeanReversion,2025-05-12 10:21:39.266938,2025-05-12 10:21:39.267335,210.12321428571428,0.30101596611097214,234.4,Buy,2023-02-23,234.63439999999997
31,ABFRL,MeanReversion,2025-05-12 10:21:39.267748,2025-05-12 10:21:39.267925,192.52678571428572,0.30101596611097214,208.5,Buy,2023-05-09,208.7085
32,ABFRL,MeanReversion,2025-05-12 10:21:39.268798,2025-05-12 10:21:39.269152,183.38392857142856,0.30101596611097214,200.0,Buy,2023-08-08,200.2
33,ABFRL,MeanReversion,2025-05-12 10:21:39.270255,2025-05-12 10:21:39.270829,198.14464285714286,0.30101596611097214,217.1,Buy,2023-12-21,217.31709999999998
34,ABFRL,MeanReversion,2025-05-12 10:21:39.271189,2025-05-12 10:21:39.271663,194.54999999999998,0.30101596611097214,213.8,Buy,2024-03-13,214.01379999999997
35,ABFRL,MeanReversion,2025-05-12 10:21:39.273553,2025-05-12 10:21:39.274036,278.20178571428573,0.30101596611097214,310.8,Buy,2024-10-23,311.1108
