,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
0,2023-01-06,136283.05,139901.728,0.0,-139901.728,860098.272,996381.3219999999
1,2023-01-09,402417.35,264636.408,0.0,-264636.408,595461.8640000001,997879.214
2,2023-01-10,397985.57,0.0,0.0,0.0,595461.8640000001,993447.4340000001
3,2023-01-11,398718.84,0.0,0.0,0.0,595461.8640000001,994180.7040000001
4,2023-01-12,514715.37,123243.48,0.0,-123243.48,472218.38399999996,986933.754
5,2023-01-13,684005.25,172613.467,0.0,-172613.467,299604.9169999999,983610.1669999999
6,2023-01-16,762903.95,76972.011,0.0,-76972.011,222632.90599999996,985536.8559999999
7,2023-01-17,761741.09,0.0,0.0,0.0,222632.90599999996,984373.9959999999
8,2023-01-18,761208.5,0.0,0.0,0.0,222632.90599999996,983841.406
9,2023-01-19,754935.85,0.0,0.0,0.0,222632.90599999996,977568.7559999999
10,2023-01-20,749052.98,0.0,0.0,0.0,222632.90599999996,971685.8859999999
11,2023-01-23,755733.4,0.0,0.0,0.0,222632.90599999996,978366.306
12,2023-01-24,747082.26,0.0,0.0,0.0,222632.90599999996,969715.166
13,2023-01-25,742207.64,0.0,0.0,0.0,222632.90599999996,964840.546
14,2023-01-27,734108.11,3900.065,66323.493,62423.428,285056.3339999999,1019164.4439999999
15,2023-01-30,763139.71,89763.372,250966.624,161203.252,446259.5859999999,1209399.2959999999
16,2023-01-31,671885.06,161776.853,76311.521,-85465.33200000001,360794.25399999984,1032679.3139999999
17,2023-02-01,690040.99,104457.833,0.0,-104457.833,256336.42099999986,946377.4109999998
18,2023-02-02,730927.98,46171.96,55663.349,9491.389000000003,265827.8099999998,996755.7899999998
19,2023-02-03,701195.59,23649.174,1777.334,-21871.84,243955.96999999986,945151.5599999998
20,2023-02-06,712622.2,0.0,4974.764,4974.764,248930.73399999982,961552.9339999998
21,2023-02-07,730998.93,19828.347,15551.452,-4276.895000000002,244653.8389999998,975652.7689999999
22,2023-02-08,730023.15,0.0,12779.939,12779.939,257433.77799999982,987456.9279999998
23,2023-02-09,733655.88,21435.348,13061.769,-8373.579000000002,249060.1989999998,982716.0789999998
24,2023-02-10,760795.15,37948.788,148864.435,110915.647,359975.8459999998,1120770.9959999998
25,2023-02-13,674672.58,67049.8,1006.786,-66043.01400000001,293932.8319999998,968605.4119999998
26,2023-02-14,722182.22,55714.974,9733.781,-45981.193,247951.63899999985,970133.8589999998
27,2023-02-15,714524.16,0.0,0.0,0.0,247951.63899999985,962475.7989999999
28,2023-02-16,727403.52,12860.702,11005.61,-1855.0919999999987,246096.5469999999,973500.0669999999
29,2023-02-17,742091.23,23441.64,4284.377,-19157.263,226939.28399999987,969030.5139999999
30,2023-02-20,736667.45,0.0,3949.66,3949.66,230888.9439999999,967556.3939999999
31,2023-02-21,728300.83,0.0,0.0,0.0,230888.9439999999,959189.7739999999
32,2023-02-22,719883.07,0.0,1379.63,1379.63,232268.5739999999,952151.6439999999
33,2023-02-23,717442.18,0.0,10679.649,10679.649,242948.22299999988,960390.4029999999
34,2023-02-24,712090.26,7657.543,9515.499,1857.9560000000001,244806.1789999999,956896.4389999999
35,2023-02-27,697085.45,6690.512,11076.825,4386.313000000001,249192.49199999985,946277.9419999998
36,2023-02-28,704885.1,16529.746,133171.592,116641.846,365834.3379999999,1070719.4379999998
37,2023-03-01,604430.15,18584.915,7187.525,-11397.390000000001,354436.94799999986,958867.0979999999
38,2023-03-02,649964.24,53429.709,0.0,-53429.709,301007.2389999998,950971.4789999998
39,2023-03-03,684512.11,30356.989,886.366,-29470.623,271536.6159999998,956048.7259999998
40,2023-03-06,683479.2,0.0,2891.661,2891.661,274428.27699999977,957907.4769999997
41,2023-03-08,682504.33,0.0,2271.256,2271.256,276699.5329999998,959203.8629999998
42,2023-03-09,680431.1,0.0,37217.398,37217.398,313916.93099999987,994348.0309999998
43,2023-03-10,687554.77,50181.852,1313.559,-48868.293,265048.6379999999,952603.4079999999
44,2023-03-13,711215.08,41242.686,1364.999,-39877.687,225170.95099999988,936386.0309999998
45,2023-03-14,701321.64,0.0,23167.13,23167.13,248338.0809999999,949659.7209999999
46,2023-03-15,691057.03,9310.44,10093.205,782.7649999999994,249120.8459999999,940177.8759999999
