,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
0,2020-01-07,399667.25,399198.894,0.0,-399198.894,600801.106,1000468.356
1,2020-01-08,642281.83,239991.719,0.0,-239991.719,360809.387,1003091.217
2,2020-01-09,774746.43,111253.437,0.0,-111253.437,249555.94999999995,1024302.38
3,2020-01-10,778697.5,0.0,0.0,0.0,249555.94999999995,1028253.45
4,2020-01-13,780037.15,0.0,0.0,0.0,249555.94999999995,1029593.1
5,2020-01-14,783839.81,0.0,0.0,0.0,249555.94999999995,1033395.76
6,2020-01-15,824968.9,35696.215,75493.91,39797.69500000001,289353.645,1114322.545
7,2020-01-16,753607.32,0.0,0.0,0.0,289353.645,1042960.965
8,2020-01-17,749968.22,0.0,0.0,0.0,289353.645,1039321.865
9,2020-01-20,781216.57,36227.784,53366.775,17138.991,306492.63600000006,1087709.206
10,2020-01-21,809923.96,73586.687,0.0,-73586.687,232905.94900000002,1042829.909
11,2020-01-22,808424.21,0.0,0.0,0.0,232905.94900000002,1041330.159
12,2020-01-23,821376.95,0.0,0.0,0.0,232905.94900000002,1054282.899
13,2020-01-24,824405.01,0.0,0.0,0.0,232905.94900000002,1057310.959
14,2020-01-27,818736.96,0.0,0.0,0.0,232905.94900000002,1051642.909
15,2020-01-28,812899.19,0.0,0.0,0.0,232905.94900000002,1045805.139
16,2020-01-29,812675.5,0.0,0.0,0.0,232905.94900000002,1045581.449
17,2020-01-30,797276.02,0.0,0.0,0.0,232905.94900000002,1030181.969
18,2020-01-31,786787.51,0.0,0.0,0.0,232905.94900000002,1019693.459
19,2020-02-03,756648.22,0.0,0.0,0.0,232905.94900000002,989554.169
20,2020-02-04,844015.49,69181.521,119852.184,50670.663,283576.61199999996,1127592.102
21,2020-02-05,800697.01,67206.145,0.0,-67206.145,216370.46699999995,1017067.477
22,2020-02-06,822239.5,0.0,42741.2,42741.2,259111.6669999999,1081351.167
23,2020-02-07,786348.15,0.0,0.0,0.0,259111.6669999999,1045459.8169999999
24,2020-02-10,782401.74,0.0,0.0,0.0,259111.6669999999,1041513.4069999999
25,2020-02-11,847045.6,70972.777,42651.349,-28321.428,230790.23899999994,1077835.839
26,2020-02-12,793585.11,0.0,2777.264,2777.264,233567.5029999999,1027152.6129999999
27,2020-02-13,785079.31,0.0,0.0,0.0,233567.5029999999,1018646.813
28,2020-02-14,776153.96,0.0,22597.84,22597.84,256165.34299999988,1032319.3029999998
29,2020-02-17,773972.02,33618.104,67544.441,33926.33700000001,290091.67999999993,1064063.7
30,2020-02-18,740156.41,37430.43,33603.548,-3826.881999999998,286264.79799999995,1026421.208
31,2020-02-19,750691.55,32161.955,1139.841,-31022.114,255242.6839999999,1005934.2339999999
32,2020-02-20,747863.87,0.0,0.0,0.0,255242.6839999999,1003106.5539999999
33,2020-02-24,734279.1,0.0,1119.1,1119.1,256361.78399999987,990640.8839999998
34,2020-02-25,742231.72,16496.253,91173.307,74677.054,331038.8379999999,1073270.5579999997
35,2020-02-26,690024.08,45432.925,0.0,-45432.925,285605.9129999998,975629.9929999998
36,2020-02-27,710301.66,30110.472,40641.595,10531.123,296137.03599999985,1006438.6959999999
37,2020-02-28,694533.69,59301.966,31474.614,-27827.352,268309.6839999999,962843.3739999998
38,2020-03-02,708308.79,59100.88,45587.16,-13513.719999999994,254795.96399999992,963104.754
39,2020-03-03,739194.29,61093.867,110086.877,48993.009999999995,303788.97399999993,1042983.264
40,2020-03-04,698032.73,82275.436,1127.28,-81148.156,222640.81799999997,920673.548
41,2020-03-05,697274.8,0.0,20298.58,20298.58,242939.39799999993,940214.198
42,2020-03-06,658566.69,0.0,3757.511,3757.511,246696.90899999999,905263.5989999999
43,2020-03-09,657416.89,32180.506,101770.637,69590.131,316287.04000000004,973703.93
